Model Year,Vehicle Make,Vehicle Model Description,Alternative Fuel Type
2024,Audi,e-tron GT,Battery Electric
2024,Audi,Q4 40 e-tron,Battery Electric
2024,Audi,Q4 50 e-tron quattro,Battery Electric
2024,Audi,Q4 Sportback 50 e-tron quattro,Battery Electric
2024,Audi,Q8 e-tron quattro,Battery Electric
2024,Audi,Q8 Sportback e-tron ultra quattro,Battery Electric
2024,Audi,RS e-tron GT,Battery Electric
2023,Audi,e-tron GT,Battery Electric
2023,Audi,e-tron quattro,Battery Electric
2023,Audi,e-tron S (20 inch wheels),Battery Electric
2023,Audi,e-tron S (21/22 inch wheels),Battery Electric
2023,Audi,e-tron S Sportback (20 inch wheels),Battery Electric
2023,Audi,e-tron S Sportback (21/22 inch wheels),Battery Electric
2023,Audi,e-tron Sportback quattro,Battery Electric
2023,Audi,Q4 e-tron,Battery Electric
2023,Audi,Q4 e-tron quattro,Battery Electric
2023,Audi,Q4 e-tron Sportback,Battery Electric
2023,Audi,RS e-tron GT,Battery Electric
2022,Audi,e-tron GT,Battery Electric
2022,Audi,e-tron quattro,Battery Electric
2022,Audi,e-tron S (20in wheels),Battery Electric
2022,Audi,e-tron S (21/22 inch wheels),Battery Electric
2022,Audi,e-tron S Sportback (20 inch wheels),Battery Electric
2022,Audi,e-tron S Sportback (21/22 inch wheels),Battery Electric
2022,Audi,e-tron Sportback quattro,Battery Electric
2022,Audi,Q4 e-tron quattro,Battery Electric
2022,Audi,Q4 e-tron Sportback quattro,Battery Electric
2022,Audi,RS e-tron GT,Battery Electric
2021,Audi,e-tron,Battery Electric
2021,Audi,e-tron Sportback,Battery Electric
2020,Audi,e-tron Sportback,Battery Electric
2019,Audi,e-tron,Battery Electric
2012,Azure Dynamics,Transit Connect Electric Van/Wagon,Battery Electric
2024,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),Battery Electric
2024,BMW,i4 eDrive35 Gran Coupe (19 inch Wheels),Battery Electric
2024,BMW,i4 eDrive40 Gran Coupe (18 inch Wheels),Battery Electric
2024,BMW,i4 eDrive40 Gran Coupe (19 inch Wheels),Battery Electric
2024,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
2024,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
2024,BMW,i4 xDrive40 Gran Coupe (18 inch Wheels),Battery Electric
2024,BMW,i4 xDrive40 Gran Coupe (19 inch Wheels),Battery Electric
2024,BMW,i5 eDrive40 Sedan (19 inch Wheels),Battery Electric
2024,BMW,i5 eDrive40 Sedan (20 inch Wheels),Battery Electric
2024,BMW,i5 eDrive40 Sedan (21 inch Wheels),Battery Electric
2024,BMW,i5 M60 xDrive Sedan (19 inch Wheels),Battery Electric
2024,BMW,i5 M60 xDrive Sedan (20 inch Wheels),Battery Electric
2024,BMW,i5 M60 xDrive Sedan (21 inch Wheels),Battery Electric
2024,BMW,i7 eDrive50 Sedan (19 inch Wheels),Battery Electric
2024,BMW,i7 eDrive50 Sedan (20 inch Wheels),Battery Electric
2024,BMW,i7 eDrive50 Sedan (21 inch Wheels),Battery Electric
2024,BMW,i7 M70 xDrive Sedan (20 inch Wheels),Battery Electric
2024,BMW,i7 M70 xDrive Sedan (21 inch Wheels),Battery Electric
2024,BMW,i7 xDrive60 Sedan (19 inch wheels),Battery Electric
2024,BMW,i7 xDrive60 Sedan (20 inch wheels),Battery Electric
2024,BMW,i7 xDrive60 Sedan (21 inch wheels),Battery Electric
2024,BMW,iX M60 (21 inch Wheels),Battery Electric
2024,BMW,iX M60 (22 inch Wheels),Battery Electric
2024,BMW,iX xDrive40 (20 inch Wheels),Battery Electric
2024,BMW,iX xDrive40 (21 inch Wheels),Battery Electric
2024,BMW,iX xDrive40 (22 inch Wheels),Battery Electric
2024,BMW,iX xDrive50 (20 inch wheels),Battery Electric
2024,BMW,iX xDrive50 (21 inch wheels),Battery Electric
2024,BMW,iX xDrive50 (22 inch wheels),Battery Electric
2023,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),Battery Electric
2023,BMW,i4 eDrive35 Gran Coupe (19 inch Wheels),Battery Electric
2023,BMW,i4 eDrive40 Gran Coupe (18 inch wheels),Battery Electric
2023,BMW,i4 eDrive40 Gran Coupe (19 inch Wheels),Battery Electric
2023,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
2023,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
2023,BMW,i7 xDrive60 Sedan (19 inch wheels),Battery Electric
2023,BMW,i7 xDrive60 Sedan (20 inch wheels),Battery Electric
2023,BMW,i7 xDrive60 Sedan (21 inch wheels),Battery Electric
2023,BMW,iX M60 (21 inch wheels),Battery Electric
2023,BMW,iX M60 (22 inch wheels),Battery Electric
2023,BMW,iX xDrive50 (20 inch wheels),Battery Electric
2023,BMW,iX xDrive50 (21 inch wheels),Battery Electric
2023,BMW,iX xDrive50 (22 inch wheels),Battery Electric
2023,BMW,X5 xDrive45e,Plug-in Hybrid
2023,BMW,XM,Plug-in Hybrid
2022,BMW,i4 eDrive40 Gran Coupe (18 inch wheels),Battery Electric
2022,BMW,i4 eDrive40 Gran Coupe (19 inch wheels),Battery Electric
2022,BMW,i4 M50 Gran Coupe (19 inch wheels),Battery Electric
2022,BMW,i4 M50 Gran Coupe (20 inch wheels),Battery Electric
2022,BMW,iX xDrive50 (20 inch wheels),Battery Electric
2022,BMW,iX xDrive50 (21 inch wheels),Battery Electric
2022,BMW,iX xDrive50 (22 inch wheels),Battery Electric
2022,BMW,X5 xDrive45e,Plug-in Hybrid
2021,BMW,i3,Battery Electric
2021,BMW,i3 with Range Extender,Plug-in Hybrid
2021,BMW,i3s,Battery Electric
2021,BMW,i3s with Range Extender,Plug-in Hybrid
2021,BMW,X5 xDrive45e,Plug-in Hybrid
2020,BMW,i3,Battery Electric
2020,BMW,i3 with Range Extender,Plug-in Hybrid
2020,BMW,i3s,Battery Electric
2020,BMW,i3s with Range Extender,Plug-in Hybrid
2019,BMW,i3,Battery Electric
2019,BMW,i3 with Range Extender,Plug-in Hybrid
2019,BMW,i3s,Battery Electric
2019,BMW,i3s with Range Extender,Plug-in Hybrid
2018,BMW,i3 (94Ah),Battery Electric
2018,BMW,i3 (94Ah) with Range Extender,Plug-in Hybrid
2018,BMW,i3s (94Ah),Battery Electric
2018,BMW,i3s (94Ah) with Range Extender,Plug-in Hybrid
2017,BMW,i3 BEV (60  Amp-hour battery),Battery Electric
2017,BMW,i3 BEV (94 Amp-hour battery),Battery Electric
2017,BMW,i3 REX  (94 Amp-hour battery),Plug-in Hybrid
2016,BMW,i3 BEV,Battery Electric
2016,BMW,i3 REX,Plug-in Hybrid
2015,BMW,i3 BEV,Battery Electric
2015,BMW,i3 REX,Plug-in Hybrid
2014,BMW,i3 BEV,Battery Electric
2014,BMW,i3 REX,Plug-in Hybrid
2011,BMW,Active E,Battery Electric
2020,BYD,e6,Battery Electric
2018,BYD,e6,Battery Electric
2017,BYD,e6,Battery Electric
2016,BYD,e6,Battery Electric
2014,BYD,e6,Battery Electric
2013,BYD,e6,Battery Electric
2012,BYD,e6,Battery Electric
2024,Cadillac,LYRIQ,Battery Electric
2023,Cadillac,LYRIQ,Battery Electric
2023,Cadillac,LYRIQ AWD,Battery Electric
2018,Cadillac,CT6 Plug-In,Plug-in Hybrid
2017,Cadillac,CT6 Plug-In,Plug-in Hybrid
2016,Cadillac,ELR,Plug-in Hybrid
2016,Cadillac,ELR Sport,Plug-in Hybrid
2015,Cadillac,ELR,Plug-in Hybrid
2014,Cadillac,ELR,Plug-in Hybrid
2024,Chevrolet,Silverado EV,Battery Electric
2023,Chevrolet,Bolt EUV,Battery Electric
2023,Chevrolet,Bolt EV,Battery Electric
2022,Chevrolet,Bolt EUV,Battery Electric
2022,Chevrolet,Bolt EV,Battery Electric
2021,Chevrolet,Bolt EV,Battery Electric
2020,Chevrolet,Bolt EV,Battery Electric
2019,Chevrolet,Bolt EV,Battery Electric
2019,Chevrolet,Volt,Plug-in Hybrid
2018,Chevrolet,Bolt EV,Battery Electric
2018,Chevrolet,Volt,Plug-in Hybrid
2017,Chevrolet,Bolt EV,Battery Electric
2017,Chevrolet,Volt,Plug-in Hybrid
2016,Chevrolet,Spark EV,Battery Electric
2016,Chevrolet,Volt,Plug-in Hybrid
2015,Chevrolet,Spark EV,Battery Electric
2015,Chevrolet,Volt,Plug-in Hybrid
2014,Chevrolet,Spark EV,Battery Electric
2014,Chevrolet,Volt,Plug-in Hybrid
2013,Chevrolet,Volt,Plug-in Hybrid
2012,Chevrolet,Volt,Plug-in Hybrid
2011,Chevrolet,Volt,Plug-in Hybrid
2005,Chevrolet,Silverado 2500 HD 2WD CNG,CNG
2005,Chevrolet,Silverado 2500 HD 4WD CNG,CNG
2004,Chevrolet,Express Cargo (dedicated CNG),CNG
2004,Chevrolet,Express Passenger (dedicated CNG),CNG
2004,Chevrolet,Silverado 2500 HD 2WD CNG,CNG
1998,Chevrolet,S10 Electric,Battery Electric
1998,Chevrolet,S10 Electric,Battery Electric
2023,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2022,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2021,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2020,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2019,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2018,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2017,Chrysler,Pacifica Hybrid,Plug-in Hybrid
2013,CODA Automotive,CODA,Battery Electric
2012,CODA Automotive,CODA,Battery Electric
2003,Dodge,Ram Van 2500 2WD CNG,CNG
2002,Dodge,Ram Van 2500 2WD CNG,CNG
2002,Dodge,Ram Wagon 2500 2WD CNG,CNG
2001,Dodge,Ram Van 2500 2WD CNG,CNG
2001,Dodge,Ram Wagon 2500 2WD CNG,CNG
1999,Dodge,Caravan/Grand Caravan 2WD,Battery Electric
1995,Dodge,Caravan/Grand Caravan 2WD,CNG
1994,Dodge,Caravan/Grand Caravan 2WD,CNG
1993,Dodge,Caravan/Grand Caravan 2WD,CNG
2022,E-Ride,EXV2 100 AH Single Lithium-ion Battery Pack,Battery Electric
2022,E-Ride,EXV2 200 AH Dual Lithium-ion Battery Pack,Battery Electric
2022,E-Ride,EXV2 Standard Flooded Lead Acid Battery Pack,Battery Electric
2022,E-Ride,EXV4 100 AH Single Lithium-ion Battery Pack,Battery Electric
2022,E-Ride,EXV4 200 AH Dual Lithium-ion Battery Pack,Battery Electric
2022,E-Ride,EXV4 Standard Flooded Lead Acid Battery Pack,Battery Electric
2019,Fiat,500e,Battery Electric
